링크ID,위험도,위험등급,시군구,읍면동,도로명,도로길이_m,차로수_편도,사고건수,사망자수,중상자수,경상자수,부상신고자수
1210005200,0.00,1,강남구,신사동,경부고속도로,560,2,0,0,0,0,0
1210005800,5.17,2,강남구,신사동,강남대로,218,1,5,0,3,3,0
1210006302,0.08,1,강남구,신사동,강남대로,83,4,1,0,0,1,0
1210006403,0.51,1,강남구,압구정동,올림픽대로,321,4,4,0,0,6,1
1210006504,0.36,1,강남구,압구정동,올림픽대로,82,4,2,0,0,2,0
1210030103,4.43,2,강남구,신사동,강남대로,435,3,11,1,2,11,2
1210030602,2.00,1,강남구,신사동,강남대로,422,6,5,0,3,7,0
1210030701,9.12,2,강남구,신사동,강남대로,429,5,18,0,5,19,4
1210065500,0.43,1,강남구,압구정동,올림픽대로,546,1,4,0,0,8,0
1210065800,2.53,2,강남구,압구정동,올림픽대로,856,1,12,0,4,16,0
1220000102,4.02,2,강남구,개포동,양재대로,848,4,17,0,5,14,4
1220000201,5.44,2,강남구,개포동,양재대로,847,4,19,0,7,21,3
1220000300,15.97,3,강남구,개포동,양재대로,640,4,22,0,8,31,1
1220000402,4.99,2,강남구,개포동,양재대로,640,4,16,1,2,21,2
1220000600,10.38,3,강남구,개포동,양재대로,613,4,20,0,5,37,8
1220000704,12.41,3,강남구,개포동,양재대로,412,4,10,0,8,13,2
1220000802,3.46,2,강남구,개포동,양재대로,99,2,5,0,2,4,0
1220000803,0.10,1,강남구,개포동,양재대로,412,4,2,0,0,3,0
1220000804,0.00,1,강남구,개포동,양재대로,104,2,0,0,0,0,0
1220000901,1.36,1,강남구,개포동,영동대로,75,4,3,0,0,5,0
1220000902,0.26,1,강남구,개포동,영동대로,232,4,3,0,0,4,2
1220001001,0.00,1,강남구,일원동,영동대로,75,4,0,0,0,0,0
1220001002,0.00,1,강남구,일원동,영동대로,232,4,0,0,0,0,0
1220001100,0.08,1,강남구,개포동,영동대로,321,4,2,0,0,2,1
1220001200,0.04,1,강남구,일원동,영동대로,321,4,1,0,0,2,1
1220001300,0.02,1,강남구,수서동,동부간선도로,734,1,2,0,0,1,3
1220001400,0.00,1,강남구,수서동,동부간선도로,919,1,0,0,0,0,0
1220001502,0.70,1,강남구,개포동,영동대로,177,1,2,0,1,1,0
1220001701,0.77,1,강남구,수서동,동부간선도로,201,3,3,0,1,2,0
1220001702,3.69,3,강남구,수서동,동부간선도로,285,3,3,0,3,2,0
1220001703,2.55,2,강남구,일원동,동부간선도로,1226,3,11,1,4,9,2
1220001801,0.00,1,강남구,수서동,동부간선도로,203,3,0,0,0,0,0
1220001802,0.82,1,강남구,수서동,동부간선도로,284,3,1,0,2,3,0
1220001804,1.11,2,강남구,일원동,동부간선도로,343,3,4,0,2,6,0
1220001900,0.15,1,강남구,대치동,영동대로,274,1,2,0,0,3,0
1220002202,36.89,4,강남구,대치동,영동대로,544,4,43,0,10,46,11
1220002302,8.79,2,강남구,대치동,영동대로,544,5,19,0,5,24,0
1220002400,5.00,3,강남구,대치동,동부간선도로,699,1,10,0,6,11,1
1220002700,37.77,4,강남구,대치동,영동대로,512,4,29,1,13,37,5
1220002902,0.66,1,강남구,청담동,동부간선도로,678,3,5,0,1,11,0
1220003000,0.30,1,강남구,대치동,동부간선도로,1896,3,10,0,1,8,5
1220003101,2.90,1,강남구,대치동,영동대로,82,5,5,0,0,7,0
1220003102,2.31,1,강남구,대치동,영동대로,125,4,5,0,1,6,1
1220003103,0.00,1,강남구,대치동,영동대로,73,4,0,0,0,0,0
1220003201,3.75,2,강남구,대치동,영동대로,82,5,5,0,1,7,0
1220003202,1.53,1,강남구,대치동,영동대로,125,5,4,0,1,5,2
1220003203,0.23,1,강남구,대치동,영동대로,73,5,2,0,0,2,1
1220003204,3.07,2,강남구,대치동,영동대로,161,7,8,0,0,10,1
1220003303,6.93,2,강남구,삼성동,영동대로,139,6,11,0,2,10,3
1220003402,21.64,4,강남구,삼성동,영동대로,511,7,25,0,8,31,2
