다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
99521,2013060,2629010700,26290002,부산광역시 남구2,부산광역시 남구 용호동(분포초교 부근),2,2,0,1,1,0,129.1136624,35.12877156,"{""type"":""Polygon"",""coordinates"":[[[129.1159899,35.1306836],[129.1155972,35.1309592],[129.1151568,35.1311809],[129.1146796,35.1313433],[129.1141774,35.1314424],[129.1136624,35.1314757],[129.1131475,35.1314424],[129.1126453,35.1313433],[129.1121681,35.1311809],[129.1117277,35.1309592],[129.111335,35.1306836],[129.1109995,35.130361],[129.1107297,35.1299992],[129.110532,35.1296071],[129.1104115,35.1291945],[129.110371,35.1287715],[129.1104115,35.1283485],[129.1105321,35.1279359],[129.1107298,35.1275439],[129.1109996,35.1271821],[129.1113351,35.1268595],[129.1117278,35.1265839],[129.1121682,35.1263622],[129.1126454,35.1261998],[129.1131476,35.1261008],[129.1136624,35.1260675],[129.1141773,35.1261008],[129.1146795,35.1261998],[129.1151567,35.1263622],[129.1155971,35.1265839],[129.1159898,35.1268595],[129.1163252,35.1271821],[129.1165951,35.1275439],[129.1167928,35.1279359],[129.1169134,35.1283485],[129.1169539,35.1287715],[129.1169134,35.1291945],[129.1167928,35.1296071],[129.1165952,35.1299992],[129.1163253,35.130361],[129.1159899,35.1306836]]]}"
99845,2013060,5011013700,50110001,제주특별자치도 제주시1,제주특별자치도 제주시 연동(신제주초교 부근),2,2,0,1,1,0,126.4973173,33.48329964,"{""type"":""Polygon"",""coordinates"":[[[126.4995998,33.4852122],[126.4992146,33.4854879],[126.4987827,33.4857096],[126.4983148,33.4858721],[126.4978222,33.4859712],[126.4973173,33.4860045],[126.4968123,33.4859712],[126.4963198,33.4858721],[126.4958518,33.4857096],[126.4954199,33.4854879],[126.4950348,33.4852122],[126.4947058,33.4848895],[126.4944412,33.4845276],[126.4942474,33.4841354],[126.4941291,33.4837227],[126.4940894,33.4832996],[126.4941292,33.4828765],[126.4942474,33.4824638],[126.4944413,33.4820716],[126.4947059,33.4817098],[126.4950349,33.481387],[126.49542,33.4811114],[126.4958519,33.4808896],[126.4963198,33.4807272],[126.4968123,33.4806281],[126.4973173,33.4805948],[126.4978222,33.4806281],[126.4983147,33.4807272],[126.4987827,33.4808896],[126.4992145,33.4811114],[126.4995997,33.481387],[126.4999286,33.4817098],[126.5001933,33.4820716],[126.5003871,33.4824638],[126.5005054,33.4828765],[126.5005452,33.4832996],[126.5005054,33.4837227],[126.5003872,33.4841354],[126.5001934,33.4845276],[126.4999287,33.4848895],[126.4995998,33.4852122]]]}"
99847,2013060,1135010500,11350001,서울특별시 노원구1,서울특별시 노원구 상계동(동일초교 부근),2,2,1,1,0,0,127.056828,37.66443684,"{""type"":""Polygon"",""coordinates"":[[[127.0592324,37.6663481],[127.0588266,37.6666235],[127.0583717,37.6668452],[127.0578788,37.6670075],[127.0573599,37.6671065],[127.056828,37.6671398],[127.0562961,37.6671065],[127.0557773,37.6670075],[127.0552843,37.6668452],[127.0548294,37.6666235],[127.0544237,37.6663481],[127.0540772,37.6660256],[127.0537984,37.6656639],[127.0535942,37.665272],[127.0534697,37.6648596],[127.0534279,37.6644368],[127.0534697,37.664014],[127.0535943,37.6636015],[127.0537985,37.6632097],[127.0540773,37.6628481],[127.0544238,37.6625255],[127.0548295,37.6622501],[127.0552844,37.6620285],[127.0557774,37.6618662],[127.0562961,37.6617672],[127.056828,37.6617339],[127.0573599,37.6617672],[127.0578787,37.6618662],[127.0583716,37.6620285],[127.0588265,37.6622501],[127.0592322,37.6625255],[127.0595788,37.6628481],[127.0598575,37.6632097],[127.0600617,37.6636015],[127.0601863,37.664014],[127.0602282,37.6644368],[127.0601863,37.6648596],[127.0600618,37.665272],[127.0598576,37.6656639],[127.0595789,37.6660256],[127.0592324,37.6663481]]]}"
99522,2013060,2635010300,26350001,부산광역시 해운대구1,부산광역시 해운대구 반여동(장산초교 부근),2,2,0,2,0,0,129.1191075,35.19955555,"{""type"":""Polygon"",""coordinates"":[[[129.121437,35.2014676],[129.1210439,35.2017432],[129.1206031,35.2019649],[129.1201255,35.2021273],[129.1196228,35.2022263],[129.1191075,35.2022596],[129.1185921,35.2022263],[129.1180895,35.2021273],[129.1176119,35.2019649],[129.1171711,35.2017432],[129.116778,35.2014676],[129.1164423,35.2011449],[129.1161722,35.2007831],[129.1159744,35.2003911],[129.1158537,35.1999785],[129.1158132,35.1995555],[129.1158537,35.1991325],[129.1159744,35.1987199],[129.1161723,35.1983279],[129.1164424,35.1979661],[129.1167781,35.1976435],[129.1171712,35.1973679],[129.1176119,35.1971462],[129.1180895,35.1969838],[129.1185922,35.1968848],[129.1191075,35.1968515],[129.1196228,35.1968848],[129.1201255,35.1969838],[129.120603,35.1971462],[129.1210438,35.1973679],[129.1214369,35.1976435],[129.1217726,35.1979661],[129.1220427,35.1983279],[129.1222405,35.1987199],[129.1223612,35.1991325],[129.1224018,35.1995555],[129.1223613,35.1999785],[129.1222406,35.2003911],[129.1220428,35.2007831],[129.1217727,35.2011449],[129.121437,35.2014676]]]}"
99844,2013060,4888025021,48880001,경상남도 거창군1,경상남도 거창군 거창읍(거창초교 부근),2,2,0,1,0,1,127.9111,35.68783983,"{""type"":""Polygon"",""coordinates"":[[[127.9134436,35.6897517],[127.9130481,35.6900273],[127.9126047,35.690249],[127.9121242,35.6904113],[127.9116185,35.6905104],[127.9111,35.6905437],[127.9105815,35.6905104],[127.9100758,35.6904113],[127.9095953,35.690249],[127.9091518,35.6900273],[127.9087564,35.6897517],[127.9084186,35.6894291],[127.9081469,35.6890673],[127.9079479,35.6886753],[127.9078265,35.6882628],[127.9077857,35.6878398],[127.9078265,35.6874168],[127.9079479,35.6870043],[127.908147,35.6866123],[127.9084187,35.6862505],[127.9087565,35.6859279],[127.9091519,35.6856524],[127.9095954,35.6854307],[127.9100758,35.6852683],[127.9105815,35.6851693],[127.9111,35.685136],[127.9116184,35.6851693],[127.9121241,35.6852683],[127.9126046,35.6854307],[127.913048,35.6856524],[127.9134435,35.6859279],[127.9137812,35.6862505],[127.914053,35.6866123],[127.914252,35.6870043],[127.9143734,35.6874168],[127.9144142,35.6878398],[127.9143735,35.6882628],[127.9142521,35.6886753],[127.9140531,35.6890673],[127.9137813,35.6894291],[127.9134436,35.6897517]]]}"
98904,2013060,1129011000,11290002,서울특별시 성북구2,서울특별시 성북구 동소문동7가(정덕초교 부근),2,2,0,2,0,0,127.0145636,37.59757144,"{""type"":""Polygon"",""coordinates"":[[[127.0169658,37.5994827],[127.0165604,37.5997582],[127.0161059,37.5999798],[127.0156134,37.6001421],[127.015095,37.6002411],[127.0145636,37.6002744],[127.0140321,37.6002411],[127.0135138,37.6001421],[127.0130213,37.5999798],[127.0125667,37.5997582],[127.0121614,37.5994827],[127.0118152,37.5991602],[127.0115367,37.5987985],[127.0113327,37.5984067],[127.0112083,37.5979942],[127.0111665,37.5975714],[127.0112083,37.5971485],[127.0113328,37.5967361],[127.0115368,37.5963443],[127.0118153,37.5959826],[127.0121615,37.5956601],[127.0125669,37.5953847],[127.0130214,37.5951631],[127.0135138,37.5950007],[127.0140322,37.5949017],[127.0145636,37.5948685],[127.015095,37.5949017],[127.0156133,37.5950007],[127.0161058,37.5951631],[127.0165603,37.5953847],[127.0169656,37.5956601],[127.0173118,37.5959826],[127.0175904,37.5963443],[127.0177944,37.5967361],[127.0179188,37.5971485],[127.0179607,37.5975714],[127.0179189,37.5979942],[127.0177945,37.5984067],[127.0175905,37.5987985],[127.017312,37.5991602],[127.0169658,37.5994827]]]}"
99536,2013060,4790041000,47900001,경상북도 예천군1,경상북도 예천군 풍양면(풍양초교 부근),3,3,0,0,3,0,128.3005673,36.51129446,"{""type"":""Polygon"",""coordinates"":[[[128.3029355,36.5132061],[128.3025359,36.5134816],[128.3020878,36.5137033],[128.3016023,36.5138656],[128.3010912,36.5139646],[128.3005673,36.5139979],[128.3000434,36.5139646],[128.2995324,36.5138656],[128.2990468,36.5137033],[128.2985988,36.5134816],[128.2981991,36.5132061],[128.2978578,36.5128835],[128.2975833,36.5125218],[128.2973822,36.5121298],[128.2972595,36.5117173],[128.2972183,36.5112944],[128.2972595,36.5108715],[128.2973822,36.510459],[128.2975834,36.5100671],[128.297858,36.5097054],[128.2981993,36.5093828],[128.2985989,36.5091073],[128.2990469,36.5088856],[128.2995324,36.5087233],[128.3000434,36.5086243],[128.3005673,36.508591],[128.3010912,36.5086243],[128.3016022,36.5087233],[128.3020877,36.5088856],[128.3025358,36.5091073],[128.3029354,36.5093828],[128.3032767,36.5097054],[128.3035513,36.5100671],[128.3037524,36.510459],[128.3038751,36.5108715],[128.3039164,36.5112944],[128.3038751,36.5117173],[128.3037525,36.5121298],[128.3035514,36.5125218],[128.3032768,36.5128835],[128.3029355,36.5132061]]]}"
99841,2013060,4812916400,48129001,경상남도 창원시 진해구1,경상남도 창원시 진해구 용원동(안골포초교 부근),2,4,0,0,4,0,128.8057126,35.10347408,"{""type"":""Polygon"",""coordinates"":[[[128.8080393,35.1053861],[128.8076467,35.1056617],[128.8072065,35.1058834],[128.8067294,35.1060458],[128.8062273,35.1061449],[128.8057126,35.1061782],[128.8051978,35.1061449],[128.8046957,35.1060458],[128.8042187,35.1058834],[128.8037785,35.1056617],[128.8033858,35.1053861],[128.8030505,35.1050635],[128.8027807,35.1047017],[128.8025832,35.1043097],[128.8024626,35.103897],[128.8024221,35.103474],[128.8024627,35.103051],[128.8025832,35.1026384],[128.8027808,35.1022464],[128.8030506,35.1018846],[128.8033859,35.101562],[128.8037786,35.1012864],[128.8042188,35.1010647],[128.8046958,35.1009023],[128.8051979,35.1008033],[128.8057126,35.10077],[128.8062273,35.1008033],[128.8067294,35.1009023],[128.8072064,35.1010647],[128.8076466,35.1012864],[128.8080392,35.101562],[128.8083746,35.1018846],[128.8086443,35.1022464],[128.8088419,35.1026384],[128.8089625,35.103051],[128.809003,35.103474],[128.8089625,35.103897],[128.808842,35.1043097],[128.8086444,35.1047017],[128.8083747,35.1050635],[128.8080393,35.1053861]]]}"
99531,2013060,4127310900,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 선부동(화랑초교 부근),2,2,0,1,1,0,126.8180731,37.3314114,"{""type"":""Polygon"",""coordinates"":[[[126.8204668,37.3333228],[126.8200629,37.3335982],[126.81961,37.3338199],[126.8191192,37.3339822],[126.8186027,37.3340812],[126.8180731,37.3341145],[126.8175436,37.3340812],[126.8170271,37.3339822],[126.8165363,37.3338199],[126.8160834,37.3335982],[126.8156795,37.3333228],[126.8153345,37.3330002],[126.815057,37.3326385],[126.8148537,37.3322467],[126.8147297,37.3318342],[126.8146881,37.3314113],[126.8147297,37.3309885],[126.8148538,37.3305761],[126.8150571,37.3301842],[126.8153346,37.3298225],[126.8156796,37.3295],[126.8160835,37.3292245],[126.8165364,37.3290029],[126.8170271,37.3288406],[126.8175436,37.3287416],[126.8180731,37.3287083],[126.8186027,37.3287416],[126.8191192,37.3288406],[126.8196099,37.3290029],[126.8200628,37.3292245],[126.8204667,37.3295],[126.8208117,37.3298225],[126.8210892,37.3301842],[126.8212925,37.3305761],[126.8214165,37.3309885],[126.8214582,37.3314113],[126.8214166,37.3318342],[126.8212926,37.3322467],[126.8210893,37.3326385],[126.8208118,37.3330002],[126.8204668,37.3333228]]]}"
99529,2013060,4119510900,41195001,경기도 부천시 원미구1,경기도 부천시 원미구 상동(송내초교 부근),2,2,0,1,1,0,126.7601216,37.490115,"{""type"":""Polygon"",""coordinates"":[[[126.7625204,37.4920263],[126.7621156,37.4923018],[126.7616617,37.4925234],[126.7611699,37.4926857],[126.7606523,37.4927847],[126.7601216,37.492818],[126.7595909,37.4927847],[126.7590733,37.4926857],[126.7585815,37.4925234],[126.7581277,37.4923018],[126.7577229,37.4920263],[126.7573772,37.4917038],[126.7570991,37.4913421],[126.7568954,37.4909502],[126.7567711,37.4905378],[126.7567294,37.490115],[126.7567712,37.4896921],[126.7568955,37.4892797],[126.7570992,37.4888878],[126.7573773,37.4885262],[126.757723,37.4882037],[126.7581278,37.4879282],[126.7585816,37.4877066],[126.7590734,37.4875443],[126.759591,37.4874453],[126.7601216,37.487412],[126.7606523,37.4874453],[126.7611699,37.4875443],[126.7616616,37.4877066],[126.7621155,37.4879282],[126.7625202,37.4882037],[126.762866,37.4885262],[126.7631441,37.4888878],[126.7633478,37.4892797],[126.7634721,37.4896921],[126.7635139,37.490115],[126.7634721,37.4905378],[126.7633479,37.4909502],[126.7631442,37.4913421],[126.7628661,37.4917038],[126.7625204,37.4920263]]]}"
