관측일자,,지점명,평균기온(℃),최저기온(℃),최대기온(℃),평균습도(%),최저습도(%),최고습도(%),평균풍속(m/s),최대풍속(m/s),강수량(mm)
20120101,1159,강남,1.1,1,1.3,68.2,67,70,0.3,0.8,0
20120101,1175,강동,1.1,1.1,1.2,68.4,67.1,69.3,0.8,1.6,0
20120101,1165,강북,0.9,0.6,1,70.9,69.6,72.1,1.2,2.1,0
20120101,1176,강서,0.9,0.5,1.1,73.9,73.3,74.7,0.6,1.6,0
20120101,1174,관악,1,0.9,1.1,76.4,75.6,76.8,0,0,0
20120101,1164,광진,1.4,1.3,1.6,69.7,69,70.3,0.5,1.6,0
20120101,1156,구로,0.9,0.8,1,76.4,76,76.8,1.5,2.4,0
20120101,1161,금천,0.5,0.5,0.7,73.6,72.7,74.3,1.2,1.7,0
20120101,1151,남산,0.3,0.2,0.5,78.5,77.2,80.5,0.8,1.8,0
20120101,1163,노원,0.9,0.6,1.1,67,66.6,67.4,0.5,1.3,0
20120101,1154,도봉,0.4,0.1,0.6,72.2,71.2,72.9,0.3,0.9,0
20120101,1152,동대문,1.1,0.8,1.4,69.3,67.3,71.9,1.2,2.1,0
20120101,1173,동작,1.4,1.3,1.5,72.4,71.9,73.3,1.1,1.8,0
20120101,1155,마포,0.6,0.3,0.9,73.4,71.3,74.5,0.4,1,0
20120101,1160,서대문,0.3,0.1,0.7,74.4,73.1,76.1,0.7,1.7,0
20120101,1158,서초,0.8,0.3,1.3,61.8,60.6,63.1,0.9,1.5,0
20120101,1168,성동,1.2,1,1.4,66.9,65.5,68.4,0.7,1.5,0
20120101,1153,성북,0.7,0.6,0.7,69.9,68.3,71,1,1.7,0
20120101,1162,양천,1,0.8,1.1,73.4,72.8,73.9,0.9,1.8,0
20120101,1157,영등포,0.9,0.9,1,76,75.8,76.5,1.1,2.2,0
20120101,1167,용산,1.5,1.4,1.6,70.2,67.5,72,1,2,0
20120101,1172,은평,1,0.8,1.1,67.9,66.6,68.7,1,1.6,0
20120101,1171,종로,1.4,1.3,1.5,70.7,69.6,72.5,0.8,1.3,0
20120101,1170,중구,0.2,0.1,0.3,57,55.1,58.7,1,2,0
20120101,1169,중랑,1.4,1.1,1.6,69.6,68,70.3,1.1,1.9,0
20120102,1159,강남,-2.6,-5.9,-1,62.9,55.9,77.5,1.3,3.3,0
20120102,1175,강동,-2,-5.6,-0.5,61.5,54.6,74.9,1.8,3.9,0
20120102,1165,강북,-2.8,-6,-0.5,63.8,54,75.5,1.3,3.4,0
20120102,1176,강서,-2.6,-4.6,-1.1,66.7,59.7,75.6,1.5,3.5,0
20120102,1174,관악,-2.4,-5,-1,62.2,55.7,69.5,0.5,3.6,0
20120102,1164,광진,-2,-5.8,-0.4,60.8,52.9,74.4,1.5,3.7,0
20120102,1156,구로,-2.3,-4.2,-0.9,64.7,57.8,70.5,2,4.5,0
20120102,1161,금천,-2.5,-5.1,-0.8,63.9,55.9,72.6,2,4.3,0
20120102,1151,남산,-3.1,-5.7,-1.4,68.6,60.4,78.2,1.3,3.4,0
20120102,1163,노원,-2.6,-6.7,-0.5,66,55.1,82.3,1.1,3.9,0
20120102,1154,도봉,-3.2,-6.6,-0.6,64.9,52.3,77,0.9,3.1,0
20120102,1152,동대문,-2.5,-5.9,-0.6,64,53.9,76.1,1.6,4.4,0
20120102,1173,동작,-2.1,-4.5,-0.6,61.4,53.9,68.9,2,5.2,0
20120102,1155,마포,-2.7,-4.9,-0.5,64.7,54.6,73.9,1.2,3,0
20120102,1160,서대문,-3.3,-6,-1.5,66.7,56.5,76.3,1.5,4.7,0
20120102,1158,서초,-2,-5,-0.4,56.7,49,67.7,1.4,3.3,0
20120102,1168,성동,-2,-5,-0.2,56.2,47,68.6,1.7,4.2,0
20120102,1153,성북,-3.1,-6.1,-1.3,63.6,55.2,75.5,1.3,3.8,0
20120102,1166,송파,-2,-5.9,-0.4,60.3,53,77.3,1.4,3.9,0
20120102,1162,양천,-2.1,-3.9,-0.5,62,54.8,68.3,1.6,4,0
20120102,1157,영등포,-2.4,-4.7,-0.6,65.3,56.7,74.3,2.3,4.4,0
20120102,1167,용산,-2,-4.3,-0.4,58.7,50.9,67.1,1.6,4.1,0
20120102,1172,은평,-2.8,-5.3,-1.1,60.6,50.2,69.8,1.9,4.4,0
